t,new_positive,new_reported
1.0,[177.83476185992197],[26.675214278988296]
2.0,[209.80817081244507],[31.471225621866758]
3.0,[247.23371041427677],[37.08505656214152]
4.0,[290.9143499191139],[43.63715248786708]
5.0,[341.72930708538433],[51.259396062807646]
6.0,[400.732129177328],[60.10981937659919]
7.0,[455.5523667935013],[68.33285501902519]
8.0,[511.408186482316],[76.7112279723474]
9.0,[566.8263782388393],[85.02395673582589]
10.0,[620.1915576435604],[93.02873364653405]
11.0,[669.8124718618515],[100.47187077927772]
12.0,[714.0214401079382],[107.10321601619073]
13.0,[751.2667800006435],[112.69001700009652]
14.0,[780.235423522081],[117.03531352831214]
15.0,[799.9100957314438],[119.98651435971657]
16.0,[809.6787179953033],[121.45180769929549]
17.0,[809.2870133709347],[121.3930520056402]
18.0,[798.9637258122867],[119.844558871843]
19.0,[779.2245125696347],[116.8836768854452]
20.0,[751.0052444127282],[112.65078666190922]
21.0,[715.4265865926982],[107.31398798890473]
22.0,[673.7951987364609],[101.06927981046913]
23.0,[627.555964021167],[94.13339460317505]
24.0,[577.4934916125219],[86.62402374187828]
25.0,[525.8856771452618],[78.88285157178926]
26.0,[497.04373102834404],[74.5565596542516]
27.0,[469.34875359294756],[70.40231303894213]
28.0,[442.89644724110326],[66.43446708616548]
29.0,[417.67628821112686],[62.65144323166903]
30.0,[393.66207051069813],[59.04931057660472]
31.0,[370.82884610625905],[55.62432691593886]
32.0,[349.1540757145377],[52.373111357180655]
33.0,[328.60348384540885],[49.29052257681133]
34.0,[309.1358628281378],[46.37037942422067]
35.0,[290.7150042905224],[43.60725064357836]
36.0,[273.5430525427779],[41.031457881416685]
37.0,[272.6297868843845],[40.89446803265767]
38.0,[273.2045717519231],[40.98068576278846]
39.0,[275.5290039619672],[41.32935059429508]
40.0,[279.836984283381],[41.97554764250715]
41.0,[286.32148868797464],[42.948223303196194]
42.0,[295.13637207123344],[44.270455810685014]
43.0,[306.5257885194556],[45.97886827791834]
44.0,[320.73149230765273],[48.10972384614791]
45.0,[338.02125917000643],[50.70318887550096]
46.0,[358.87610203480034],[53.83141530522005]
47.0,[383.8519027044362],[57.57778540566543]
48.0,[413.5210269392157],[62.02815404088235]
49.0,[448.4898204795849],[67.27347307193773]
50.0,[489.6361279658292],[73.44541919487438]
51.0,[538.0254005494025],[80.70381008241039]
52.0,[594.7424527207812],[93.45952828469419]
53.0,[661.0337440737048],[108.59840081210864]
54.0,[738.489162745088],[126.59814218487223]
55.0,[828.5904249564848],[147.96257588508655]
56.0,[904.6222774019402],[168.00128008893176]
57.0,[983.3634495922015],[189.648665278496]
58.0,[1063.2618908168338],[212.65237816336676]
59.0,[1142.992566816975],[236.76274598351625]
60.0,[1220.9946235300508],[261.6417050421538]
61.0,[1295.6668092387806],[286.89765061715855]
62.0,[1365.426667920351],[312.09752409608024]
63.0,[1428.5605426868278],[336.73212791903796]
64.0,[1483.4854738480672],[360.2750436488163]
65.0,[1528.7699190353471],[382.1924797588368]
66.0,[1563.2589339769509],[401.9808687369302]
67.0,[1586.2617738862843],[419.22632595566085]
68.0,[1597.2561850539419],[433.5409645146414]
69.0,[1596.082197099807],[444.6228977635177]
70.0,[1583.3279547942557],[452.3794156555016]
71.0,[1559.6886542632835],[456.76596303424736]
72.0,[1525.8951114360161],[457.76853343080484]
73.0,[1483.3372011257952],[455.5964260600657]
74.0,[1433.497729681685],[450.5278578999582]
75.0,[1377.7461588141934],[442.84697961884785]
76.0,[1317.4214653215568],[432.86705289136864]
77.0,[1253.8990248031862],[420.95181546964113]
78.0,[1188.4269794454563],[407.46067866701355]
79.0,[1122.1412100970163],[392.7494235339557]
80.0,[1056.031895124955],[377.15424825891256]
81.0,[990.8290122059752],[360.9448544464624]
82.0,[927.1762114676853],[344.3797356879974]
83.0,[865.687926350318],[327.7247149754775]
84.0,[806.6942354877964],[311.15349083100716]
85.0,[750.4036377010697],[294.8014290968488]
86.0,[697.0220863799759],[278.8088345519904]
87.0,[646.7032643610584],[263.30061477557376]
88.0,[599.4081373546358],[248.3262283326348]
89.0,[555.0907944401567],[233.93112051406607]
90.0,[513.7223716177958],[220.16673069334107]
91.0,[475.22045848122065],[207.06034262396042]
92.0,[439.4346678734161],[194.60678148679858]
93.0,[406.2303851198536],[182.80367330393412]
94.0,[375.48779887862],[171.65156520165488]
95.0,[347.0483998695169],[161.12961422513285]
