t,naive,susceptible,infectious,recovering,beta
0.0,[99361.11658109052],[0.0],[425.46137929908724],[213.42203961039053],[0.42066855598440445]
1.0,[99167.76364977237],[0.8904460492528177],[502.9304463011574],[328.41545787722305],[0.42066855598440445]
2.0,[98939.74283241753],[2.19268057786608],[594.0010793663091],[464.063407638313],[0.42066855598440445]
3.0,[98671.24557318885],[3.9782697508524447],[700.8369214420238],[623.9392356182844],[0.42066855598440445]
4.0,[98355.59989663174],[6.330677535458344],[825.8765427948368],[812.1928830379727],[0.42066855598440445]
5.0,[97984.93239651155],[9.346651373816663],[972.1054793745618],[1033.615472740064],[0.42066855598440445]
6.0,[97557.07044745472],[13.138520497370987],[1136.4770257291314],[1293.3140063187714],[0.4108283558444184]
7.0,[97073.7210045527],[17.83096129858679],[1313.5744361990307],[1594.8735979496812],[0.40098815570443236]
8.0,[96534.63523489058],[23.556922900921833],[1500.7897747976306],[1941.0180674108797],[0.39114795556444626]
9.0,[95941.0655757681],[30.45456897372012],[1694.7585662011973],[2333.721289057003],[0.38130775542446016]
10.0,[95295.9245520362],[38.66478948552411],[1891.3932815608875],[2774.0173769173957],[0.3714675552844741]
11.0,[94603.75651135124],[48.328966467094105],[2086.026351619818],[3261.8881705618705],[0.361627355144488]
12.0,[93870.86806095258],[59.58337352200876],[2273.5672145597423],[3795.9813509656988],[0.351787155004502]
13.0,[93104.84273371653],[72.5598145664689],[2448.816955179533],[4373.7804965374835],[0.34194695486451593]
14.0,[92314.58117126973],[87.3771886897706],[2606.647431403587],[4991.3942086369225],[0.3321067547245299]
15.0,[91509.69350478337],[104.14360171659638],[2742.4354549210098],[5643.727438579041],[0.3222665545845438]
16.0,[90700.34060214878],[122.95161923188951],[2852.053511059495],[6324.654267559851],[0.31242635444455774]
17.0,[89896.49814317454],[143.87518643093384],[2932.518248596911],[7027.108421797631],[0.3025861543045716]
18.0,[89108.09567936562],[166.969913179493],[2981.546083594332],[7743.388323860578],[0.29274595416458554]
19.0,[88343.85844208059],[192.27797736961787],[2998.338235328662],[8465.525345221147],[0.2829057540245995]
20.0,[87611.88163032215],[219.79968055887232],[2982.9567731652237],[9185.361915953768],[0.27306555388461345]
21.0,[86919.00965981728],[249.55903347649013],[2936.5694681430346],[9894.861838563216],[0.26322535374462736]
22.0,[86270.00595445735],[281.5034363859071],[2861.5191075873645],[10586.971501569398],[0.25338515360464126]
23.0,[85672.28228679874],[315.61470138889086],[2757.5959441504147],[11254.507067661965],[0.24354495346465524]
24.0,[85123.89222372934],[351.8260255627835],[2632.576730479534],[11891.705020228344],[0.23370475332466914]
25.0,[84613.80450273845],[389.98621225356845],[2502.008389859198],[12494.200895148795],[0.23370475332466914]
26.0,[84133.04192950763],[429.97053811081463],[2374.912850440095],[13062.074681941473],[0.23370475332466914]
27.0,[83679.43685238206],[471.67668195369475],[2252.0331744048567],[13596.853291259402],[0.23370475332466914]
28.0,[83251.66552443527],[514.9933834181252],[2133.5414344643627],[14099.799657682242],[0.23370475332466914]
29.0,[82848.56358222454],[559.8393756710701],[2019.510990618021],[14572.086051486382],[0.23370475332466914]
30.0,[82468.98846353465],[606.1374106200058],[1910.006988028781],[15014.867137816584],[0.23370475332466914]
31.0,[82111.79333343607],[653.8096226302],[1805.0934365548121],[15429.303607378935],[0.23370475332466914]
32.0,[81775.69995423661],[702.7574779732307],[1704.7633026019525],[15816.779265188228],[0.23370475332466914]
33.0,[81459.60909753063],[752.9035818456723],[1608.955093675468],[16178.532226948259],[0.23370475332466914]
34.0,[81162.52626810201],[804.1848686670987],[1517.6177303284155],[16515.671132902484],[0.23370475332466914]
35.0,[80882.04667151139],[856.5115801741642],[1431.9609351678507],[16829.480813146605],[0.23370475332466914]
36.0,[80607.93372204884],[909.6621919949362],[1359.496208189558],[17122.907877766673],[0.24600500349965176]
37.0,[80336.29244154562],[963.5611510154503],[1300.9630430854625],[17399.18336435349],[0.2583052536746343]
38.0,[80064.653055133],[1018.1617750199529],[1255.7462205607217],[17661.43894928633],[0.2706055038496169]
39.0,[79790.54578794232],[1073.4173817926908],[1223.2305213204936],[17912.806308944502],[0.2829057540245995]
40.0,[79511.52303377782],[1129.2658243065348],[1202.7461891283197],[18156.46495278734],[0.29520600419958204]
41.0,[79225.20018766173],[1185.5854731959128],[1193.588087433695],[18395.62625170868],[0.3075062543745647]
42.0,[78929.06642172963],[1242.3209369869915],[1195.5295816941791],[18633.083059589226],[0.31980650454954723]
43.0,[78620.6004897559],[1299.426635582487],[1208.3932023290206],[18871.579672332606],[0.33210675472452983]
44.0,[78297.48802272601],[1356.8213720545853],[1232.147677017524],[19113.542928201892],[0.3444070048995124]
45.0,[77956.07346619265],[1414.4193277250658],[1267.5745758808519],[19361.932630201445],[0.35670725507449497]
46.0,[77592.09932204252],[1472.1521614076883],[1315.6741278899149],[19620.074388659898],[0.3690075052494776]
47.0,[77201.3080921623],[1529.9515319162117],[1377.446562015625],[19891.29381390588],[0.38130775542446016]
48.0,[76779.49553814609],[1587.736524137926],[1453.9656937205355],[20178.802243995473],[0.3936080055994427]
49.0,[76321.26306292319],[1645.3565280811915],[1547.1658309753002],[20486.214578020346],[0.40590825577442535]
50.0,[75819.35400982031],[1702.663293055974],[1659.529023771359],[20818.453673352364],[0.41820850594940795]
51.0,[75266.56000076074],[1759.508865589531],[1793.532360256629],[21180.39877339311],[0.43050875612439055]
52.0,[74655.24069891346],[1815.681366328095],[1952.1395372112252],[21576.93839754723],[0.44280900629937314]
53.0,[73974.12577046512],[1870.9068159834483],[2139.445932005092],[22015.52148154636],[0.45510925647435563]
54.0,[73211.74861370087],[1924.9157690826503],[2359.339604836998],[22503.99601237949],[0.4674095066493383]
55.0,[72369.87317577995],[1977.7296148222022],[2603.171418466465],[23049.2257909314],[0.4674095066493383]
56.0,[71452.02566356907],[2029.4381974020196],[2863.1145320256333],[23655.421607003278],[0.4674095066493383]
57.0,[70457.56034316652],[2080.046468233931],[3136.0247672594614],[24326.36842134011],[0.4674095066493383]
58.0,[69385.93530432988],[2129.5281405554147],[3419.3685069658322],[25065.168048148902],[0.4674095066493383]
59.0,[68239.32830974113],[2177.935559551325],[3709.6852580341797],[25873.05087267338],[0.4674095066493383]
60.0,[67020.53648536884],[2225.347127357178],[4003.1496989344128],[26750.966688339588],[0.4674095066493383]
61.0,[65732.48505955763],[2271.838319429844],[4295.703677313947],[27699.97294369859],[0.4674095066493383]
62.0,[64381.56675315521],[2317.578623332081],[4582.271736734422],[28718.582886778306],[0.4674095066493383]
63.0,[62976.15778690183],[2362.8015217328925],[4857.508216667908],[29803.532474697386],[0.4674095066493383]
64.0,[61524.48843500665],[2407.7486034196604],[5115.931094690648],[30951.831866883065],[0.4674095066493383]
65.0,[60036.2262046113],[2452.7392292206687],[5352.171776114735],[32158.86279005331],[0.4674095066493383]
66.0,[58523.11711946153],[2498.1369457010396],[5561.5543878049675],[33417.191547032475],[0.4674095066493383]
67.0,[56996.94889790189],[2544.325048660432],[5739.299844657048],[34719.426208780635],[0.4674095066493383]
68.0,[55469.15764185753],[2591.7747075139573],[5881.305061051653],[36057.76258957687],[0.4674095066493383]
69.0,[53950.93458506218],[2640.8887550810955],[5985.76484936656],[37422.41181049018],[0.4674095066493383]
70.0,[52453.52048447234],[2692.0655094281606],[6051.0343130411775],[38803.379693058334],[0.4674095066493383]
71.0,[50988.520873108835],[2745.896906290903],[6075.3960263757135],[40190.18619422456],[0.4674095066493383]
72.0,[49563.625894428966],[2802.7664975005055],[6060.238160083321],[41573.36944798722],[0.4674095066493383]
73.0,[48185.30829689062],[2862.9364768777996],[6007.844095834087],[42943.91113039751],[0.4674095066493383]
74.0,[46860.236730270524],[2926.7002137893674],[5920.471021334955],[44292.59203460517],[0.4674095066493383]
75.0,[45595.360591432116],[2994.608723723416],[5800.702190333339],[45609.328494511145],[0.4674095066493383]
76.0,[44392.669282749914],[3066.8514481062125],[5652.514370820958],[46887.964898322934],[0.4674095066493383]
77.0,[43253.18498164509],[3143.510264694324],[5480.092808981349],[48123.21194467924],[0.4674095066493383]
78.0,[42178.47595847049],[3224.7502898933285],[5287.656770837642],[49309.11698079855],[0.4674095066493383]
79.0,[41169.994910996444],[3310.8793698001446],[5079.3270728672705],[50439.798646336145],[0.4674095066493383]
80.0,[40225.82741873464],[3401.8770974048944],[4858.909500897831],[51513.385982962645],[0.4674095066493383]
81.0,[39343.858508692065],[3497.699069275923],[4630.1971912663375],[52528.245230765686],[0.4674095066493383]
82.0,[38522.99419757364],[3598.4413675835676],[4397.042415723633],[53481.52201911918],[0.4674095066493383]
83.0,[37760.87871432891],[3704.0890766151974],[4162.268381431972],[54372.76382762393],[0.4674095066493383]
84.0,[37054.2243313754],[3814.520746798997],[3928.313025498374],[55202.94189632724],[0.4674095066493383]
85.0,[36399.8617351195],[3929.6257850161423],[3697.654209118826],[55972.858270745535],[0.4674095066493383]
86.0,[35795.2522887998],[4049.339104871926],[3472.467057499423],[56682.941548828865],[0.4674095066493383]
87.0,[35237.31382136801],[4173.526563328771],[3253.938927417451],[57335.220687885776],[0.4674095066493383]
88.0,[34722.84772842686],[4302.041960629958],[3043.160090277219],[57931.950220665974],[0.4674095066493383]
89.0,[34248.66287407649],[4434.720480481653],[2841.2306165501614],[58475.3860288917],[0.4674095066493383]
90.0,[33811.89528021935],[4571.360829241628],[2648.8402917488593],[58967.90359879017],[0.4674095066493383]
91.0,[33410.003798644364],[4711.821875596971],[2466.170417607301],[59412.00390815138],[0.4674095066493383]
92.0,[33040.457535191264],[4855.967142035535],[2293.383188957459],[59810.192133815755],[0.4674095066493383]
93.0,[32700.66514844182],[5003.6422250987525],[2130.6264841080683],[60165.06614235137],[0.4674095066493383]
94.0,[32387.64233699038],[5154.508663097727],[1977.7589245245088],[60480.0900753874],[0.4674095066493383]
95.0,[32099.474232089593],[5308.405664477544],[1834.4871809335095],[60757.63292249936],[0.4674095066493383]
96.0,[31834.51989436517],[5465.237921587867],[1700.5370379637463],[60999.70514608323],[0.4674095066493383]
97.0,[31591.1383844428],[5624.910126778361],[1575.6342802438937],[61208.31720853496],[0.4674095066493383]
98.0,[31367.68876294817],[5787.3269723986905],[1459.5046924026265],[61385.47957225053],[0.4674095066493383]
